cell_id,time_sec,F340_F380_ratio
cell_01,0.0,0.9077
cell_01,0.5,0.9077
cell_01,1.0,0.9439
cell_01,1.5,0.9277
cell_01,2.0,0.903
cell_01,2.5,0.9232
cell_01,3.0,0.9031
cell_01,3.5,0.903
cell_01,4.0,0.9172
cell_01,4.5,0.8741
cell_01,5.0,0.8779
cell_01,5.5,0.9011
cell_01,6.0,0.8921
cell_01,6.5,0.9186
cell_01,7.0,0.8942
cell_01,7.5,0.8841
cell_01,8.0,0.9417
cell_01,8.5,0.9078
cell_01,9.0,0.9137
cell_01,9.5,0.8839
cell_01,10.0,0.9015
cell_01,10.5,0.9146
cell_01,11.0,0.8893
cell_01,11.5,0.9199
cell_01,12.0,0.9003
cell_01,12.5,0.9065
cell_01,13.0,0.9003
cell_01,13.5,0.9494
cell_01,14.0,0.9121
cell_01,14.5,0.8912
cell_01,15.0,0.9288
cell_01,15.5,0.8879
cell_01,16.0,0.9165
cell_01,16.5,0.8732
cell_01,17.0,0.8858
cell_01,17.5,0.9163
cell_01,18.0,0.9271
cell_01,18.5,0.9158
cell_01,19.0,0.91
cell_01,19.5,0.9063
cell_01,20.0,0.8828
cell_01,20.5,0.898
cell_01,21.0,0.9031
cell_01,21.5,0.9335
cell_01,22.0,0.9192
cell_01,22.5,0.8771
cell_01,23.0,0.9188
cell_01,23.5,0.9047
cell_01,24.0,0.8988
cell_01,24.5,0.9246
cell_01,25.0,0.933
cell_01,25.5,0.931
cell_01,26.0,0.8956
cell_01,26.5,0.9062
cell_01,27.0,0.919
cell_01,27.5,0.9319
cell_01,28.0,0.9028
cell_01,28.5,0.9086
cell_01,29.0,0.8985
cell_01,29.5,0.8884
cell_01,30.0,0.9286
cell_01,30.5,1.1355
cell_01,31.0,1.2644
cell_01,31.5,1.4114
cell_01,32.0,1.4976
cell_01,32.5,1.5545
cell_01,33.0,1.6336
cell_01,33.5,1.7012
cell_01,34.0,1.7014
cell_01,34.5,1.755
cell_01,35.0,1.6847
cell_01,35.5,1.76
cell_01,36.0,1.7476500000000001
cell_01,36.5,1.7353
cell_01,37.0,1.7361
cell_01,37.5,1.6847
cell_01,38.0,1.7079
cell_01,38.5,1.7056
cell_01,39.0,1.7127
cell_01,39.5,1.6566
cell_01,40.0,1.6395
cell_01,40.5,1.6224
cell_01,41.0,1.6329
cell_01,41.5,1.6032
cell_01,42.0,1.568
cell_01,42.5,1.5708
cell_01,43.0,1.5446
cell_01,43.5,1.5444
cell_01,44.0,1.4936
cell_01,44.5,1.484
cell_01,45.0,1.4659
cell_01,45.5,1.428
cell_01,46.0,1.4472
cell_01,46.5,1.4308
cell_01,47.0,1.4103
cell_01,47.5,1.3906
cell_01,48.0,1.3525
cell_01,48.5,1.3582
cell_01,49.0,1.346
cell_01,49.5,1.3235
cell_01,50.0,1.3233
cell_01,50.5,1.322
cell_01,51.0,1.3394
cell_01,51.5,1.2933
cell_01,52.0,1.2834
cell_01,52.5,1.2656
cell_01,53.0,1.2178
cell_01,53.5,1.2451
cell_01,54.0,1.2366
cell_01,54.5,1.2748
cell_01,55.0,1.212
cell_01,55.5,1.2126
cell_01,56.0,1.1968
cell_01,56.5,1.1654
cell_01,57.0,1.2031
cell_01,57.5,1.1871
